id,drone
A_JUNO_142_DELV_06,M300
A_JUNO_372_DELV_08,M300
A_JUNO_399_DELV_09,M300
A_JUNO_409_DELV_08,M300
A_OMAHA_128_DELV_01,M300
A_OMAHA_170_DELV_01,M300
A_OMAHA_371_DELV_06,M300
A_OMAHA_401_DELV_01,M300
A_OMAHA_411_DELV_08,M300
A_UTAH_148_DELV_01,M600
A_UTAH_183_DELV_03,M600
A_UTAH_391_DELV_07,M600
A_UTAH_405_DELV_04,M600
B_JUNO_1321_DELV_06,M300
B_JUNO_1359_DELV_07,M300
B_JUNO_1422_DELV_10,M300
B_JUNO_1434_DELV_06,M300
B_JUNO_527_DELV_07,M300
B_OMAHA_1002_DELV_03,Mavic2
B_OMAHA_1054_DELV_05,M300
B_OMAHA_1331_DELV_02,M300
B_OMAHA_1347_DELV_06,Mavic2
B_OMAHA_1396_DELV_03,M300
B_OMAHA_1444_DELV_02,Mavic2
B_OMAHA_1479_DELV_05,M300
B_OMAHA_1505_DELV_04,Mavic2
B_OMAHA_1526_DELV_03,M300
B_OMAHA_1556_DELV_03,Mavic2
B_OMAHA_1577_DELV_03,M300
B_OMAHA_545_DELV_05,M300
B_OMAHA_561_DELV_04,Mavic2
B_OMAHA_626_DELV_03,Mavic2
B_OMAHA_643_DELV_06,M300
B_OMAHA_677_DELV_05,Mavic2
B_OMAHA_701_DELV_03,M300
B_OMAHA_745_DELV_02,Mavic2
B_OMAHA_965_DELV_04,M300
B_SWORD_1455_DELV_10,S9000
B_SWORD_1538_DELV_11,S9000
B_SWORD_1582_DELV_09,S9000
B_SWORD_563_DELV_08,S9000
B_UTAH_1006_DELV_01,M300
B_UTAH_1093_DELV_01,M600
B_UTAH_1348_DELV_02,M300
B_UTAH_1365_DELV_01,M600
B_UTAH_1414_DELV_02,M600
B_UTAH_1485_DELV_01,M300
B_UTAH_1514_DELV_01,M600
B_UTAH_1565_DELV_02,M600
B_UTAH_529_DELV_02,M600
B_UTAH_980_DELV_02,M600
C_JUNO_1083_DELV_05,M300
C_JUNO_1625_DELV_08,M300
C_JUNO_1693_DELV_07,M300
C_JUNO_1755_DELV_10,M300
C_JUNO_634_DELV_08,M300
C_JUNO_891_DELV_08,M300
C_JUNO_926_DELV_06,M300
C_JUNO_959_DELV_08,M300
C_OMAHA_1038_DELV_04,Mavic2
C_OMAHA_1092_DELV_03,M300
C_OMAHA_1733_DELV_04,M300
C_OMAHA_1779_DELV_04,Mavic2
C_OMAHA_547_DELV_04,M300
C_OMAHA_895_DELV_07,Mavic2
C_OMAHA_970_DELV_02,M300
C_SWORD_1078_DELV_11,S9000
C_SWORD_928_DELV_10,S9000
C_UTAH_1005_DELV_04,M600
C_UTAH_1112_DELV_04,M600
C_UTAH_1492_DELV_01,M600
C_UTAH_1720_DELV_02,M600
C_UTAH_747_DELV_01,M600
C_UTAH_945_DELV_02,M300
